num,license
8045,SN4860
8046,SP9684
8047,SP9607
8048,SP9726
8049,SN8700
8050,SN8590
8051,SR7367
8052,SR3788
8053,SR7109
8054,ST4557
8055,ST7329
8056,ST6593
8057,ST9234
8058,SU4031
8059,SU4369
8060,SU3453
8061,SU8440
8062,SV1924
8063,SW2279
8064,SW2436
8065,SY6396
8100,NC7577
8101,NC8285
8102,ND2420
8103,ND1159
8104,ND5993
8105,ND5473
8106,ND6885
8107,ND9337
8108,NE1851
8109,NE3539
8110,NU4614
8111,NU5176
8112,NU7670
8113,NU7209
8114,NV9609
8115,NV185
8116,NV5906
8117,NV5516
8118,NV6627
8119,NV8767
8120,NV9714
8121,NW1633
8122,NZ3602
8123,NZ7879
8124,PA1162
8125,PA3839
8126,PA5955
8127,PA7994
8128,PF4940
8129,PF5373
8130,PF7565
8131,PF8229
8132,PF8486
8133,PF6977
8134,PF8240
8135,PF9996
8136,PF9917
8137,PF8761
8138,PG3570
8139,PG4068
8140,PG2617
8141,PG4205
8142,PG5781
8143,PG4846
8144,PG4785
8145,PG6073
8146,PH2490
8147,PH1273
8148,PH1905
8149,PH1149
8150,PH4500
8151,PH5763
8152,PH6010
8153,PH8285
8154,PH8099
8155,PH7839
8156,PH8849
8157,PJ150
8158,PH9903
8159,PJ5535
8160,PK3995
8161,PJ8574
8162,PK139
8163,PJ9212
8164,PK2073
8165,PK4219
8166,PK5523
8167,PK5393
8168,PK6278
8169,PK7398
8170,PK7344
8171,PK7937
8172,PK9456
8173,PL1443
8174,PL5624
8175,PL4963
8176,PL9437
8177,PL9540
8178,PM3968
8179,PM1459
8180,PM4079
8181,PM2839
8182,PM4847
8183,PM6661
8184,PN912
8185,PN511
8186,PN3009
8187,PN6097
8188,PN5934
8189,PN6176
8190,PP1750
8191,PP3950
8192,PP694
8193,PP4988
8194,PR7908
8195,PP5292
8196,PP6257
8197,PP5680
8198,PR1018
8199,PR6020
8200,PR3051
8201,PR6404
8202,PR6409
8203,PR7978
8204,PR8372
8205,RL3936
8206,RL4470
8207,RL2513
8208,RK9785
8209,RK9314
8210,RK9210
8211,RK9923
8212,RL4346
8213,RL3944
8214,RL3252
8215,RL5198
8216,RM344
8217,RL9104
8218,RL5493
8219,RL4814
8220,RL9094
8221,RL9969
8222,RM614
8223,RL6869
8224,RM2224
8225,RM1957
8226,RL9901
8227,RL8774
8228,RM2717
8229,RM3334
8230,RM5652
8231,RM5849
8232,RM7834
8233,RM8065
8234,RM7141
8235,RN3214
8236,RN3021
8237,RN3002
8238,RN2788
8239,RN3625
8240,RN3283
8241,RN2951
8242,RN2966
8243,RN5598
8244,RN4613
8245,RN7984
8246,RN6878
8247,RP1206
8248,RP2017
8249,RP1627
8250,RP1377
8251,RP4612
8252,RP4990
8253,RP5816
8254,RP5718
8255,RP5052
8256,RP6274
8257,RP7795
8258,RP7894
8259,RP7060
8260,RR4125
8261,RR3619
8262,RR3648
8263,RR4594
8264,RR5869
8265,RR8447
8266,RR7505
8267,RS4133
8268,RR6530
8269,RR9019
